x,y,labels,doc_top,topic
5.522071,6.678078,38,5,13
9.238461,6.679083,74,13,12
8.007197,6.9843025,73,90,12
3.7061596,8.8646,19,60,0
6.0361824,4.8857684,8,4,14
7.9752235,8.531368,82,102,15
8.341002,10.019349,33,41,7
10.341962,5.9005594,59,111,9
3.0463092,6.111809,4,2,7
8.396987,6.3353324,73,1,1
10.346364,6.1380253,59,13,12
8.593119,8.862289,60,22,7
4.1813297,12.086177,14,79,10
5.7043877,6.814043,38,5,13
4.7261467,8.025762,75,6,18
8.215777,4.475052,3,102,15
2.9293566,10.050966,53,0,0
12.227079,10.068869,103,31,11
12.439286,7.38713,78,12,5
6.151492,6.430146,38,7,17
3.706835,10.740607,53,0,0
4.5847015,9.649075,53,96,2
8.158563,6.528721,73,1,1
6.374352,7.6101,65,3,2
12.04355,7.8503127,90,52,5
6.9184136,8.895328,66,3,2
12.161712,9.0322895,115,32,8
6.1955366,5.182647,8,4,14
3.5701888,6.2508316,4,2,7
3.4672065,6.4696536,4,2,7
13.029369,7.428664,62,14,19
7.6220675,6.3444605,73,1,1
7.5738697,11.916996,21,71,6
11.141227,9.534905,118,11,8
12.501826,7.5233045,78,14,19
5.0800605,9.759876,53,0,0
10.348133,6.752191,63,26,9
6.9520636,8.340337,56,3,2
12.608383,6.4340444,54,7,17
4.2269974,8.04582,75,6,18
5.861183,8.65468,87,23,11
11.221014,9.583982,118,7,17
7.804219,9.284595,57,4,14
5.9920807,4.6052446,8,4,14
11.568492,10.900596,106,23,11
7.9361053,6.139795,73,1,1
6.5597987,8.096018,77,3,2
7.654087,11.880515,21,71,6
5.639947,8.120966,89,38,3
12.485997,6.5461874,54,21,5
7.3406982,11.72412,21,61,6
3.2271764,10.175913,53,0,0
4.476354,9.698899,53,0,0
12.183953,5.825543,36,52,5
8.700903,5.897986,35,90,12
9.268241,9.397631,102,10,4
10.626059,6.0705485,59,13,12
11.613554,10.629439,112,23,11
5.7415996,8.0906,89,38,3
12.329416,8.918531,116,47,16
3.177078,6.596777,4,2,7
12.647217,7.778634,78,70,15
3.2634616,6.9262195,4,2,7
5.1666203,9.587433,53,0,0
11.34662,7.1988087,85,44,9
12.389295,7.5007467,78,14,19
8.763284,5.874675,35,88,12
5.170848,10.711345,34,20,3
6.0372252,6.7872066,38,17,11
7.2363396,11.8311405,21,61,6
13.210997,8.043709,62,16,16
